SDM Samrala   —   Priority Agenda Review   |   DC Ludhiana (MASTER),,,,,,,,,,,,,,,,,
Sr,Priority Agenda,KPI / Metric,Concerned Officer / Unit,"Target /
Total","Flag
Bar","Last
Value","Current
Value",Change,"Achieved
%",Status,Auto-Flag,"Bottom
Performer",Updated By,"Update
Date",Remarks / Context / Pending Action,Rule,Key
▣  PRIORITY TASKS  —  qualitative / assigned tasks,,,,,,,,,,,,,,,,,
1.0,Ludhiana–Ropar Package II,Possession pending (km),km,0.0,0.0,,5.0,,,Pending/Blocked,🔴 HIGH,Auto,Gov Cell (report),05-06-2026,5.315 km; arbitration; LA award challenged by NHAI,MAX,SAMR-001
,,PD reply on HGK draft award — received? (Y/N),Y/N,,,,,,,Pending/Blocked,,Auto,,,NHAI conditionally accepted; under consideration,,SAMR-002
,,Machhiwara Chat/Collector additional award — issued? (Y/N),Y/N,,,,,,,In Progress,,Auto,,,Draft pending final signature; expected next week,,SAMR-003
2.0,Dhulewal Complex,📊 Dhulewal flood works completed,,,,,2.0,,,,,,,,of 18 sanctioned at Dhussi Bandh; 16 stalled. Awaiting DC decision to shift to non-MGNREGA funds.,,
,,Flood works completed,works,18.0,18.0,,2.0,,0.1111111111,Pending/Blocked,🔴 LOW,Auto,Gov Cell (report),05-06-2026,16 halted; Rs97.93L pending DC; shift to non-MGNREGA?,MIN,SAMR-004
3.0,Mushqabad / CBG,Mushqabad objections — draft sent? (Y/N),Y/N,,,,,,,Pending/Blocked,,Auto,,,,,SAMR-005
4.0,Desilting — Mandala DO Letter,Alternate desilting plan submitted? (Y/N),Y/N,,,,,,,Pending/Blocked,,Auto,,,Village denied road access,,SAMR-006
